iter	Passed	Remaining
261	7806	10070
262	7834	10039
263	7863	10008
264	7891	9975
265	7919	9944
266	7952	9918
267	7984	9891
268	8015	9862
269	8045	9833
270	8077	9806
271	8108	9778
272	8136	9746
273	8163	9712
274	8190	9680
275	8216	9645
276	8245	9614
277	8271	9580
278	8299	9549
279	8329	9518
280	8357	9487
281	8385	9455
282	8414	9425
283	8441	9393
284	8471	9362
285	8499	9331
286	8526	9299
287	8556	9269
288	8583	9237
289	8613	9207
290	8645	9179
291	8673	9148
292	8701	9117
293	8729	9085
294	8762	9059
295	8813	9051
296	8855	9034
297	8894	9013
298	8930	8990
299	8964	8964
300	8994	8934
301	9024	8904
302	9058	8878
303	9094	8854
304	9128	8828
305	9159	8800
306	9188	8769
307	9215	8737
308	9244	8705
309	9273	8675
310	9301	8643
311	9329	8612
312	9357	8580
313	9385	8548
314	9413	8516
315	9442	8486
316	9472	8456
317	9506	8430
318	9536	8400
319	9564	8369
320	9596	8340
321	9632	8315
322	9668	8291
323	9706	8268
324	9747	8247
325	9789	8227
326	9823	8201
327	9861	8177
328	9892	8148
329	9920	8116
330	9948	8084
331	9976	8053
332	10003	8021
333	10031	7988
334	10057	7955
335	10085	7924
336	10111	7891
337	10138	7858
338	10166	7827
339	10197	7798
340	10230	7770
341	10261	7741
342	10289	7709
343	10316	7677
344	10344	7645
345	10372	7614
346	10400	7583
347	10428	7551
348	10455	7519
349	10488	7491
350	10520	7463
351	10553	7435
352	10581	7403
353	10610	7373
354	10636	7340
355	10665	7310
356	10697	7281
357	10729	7252
358	10759	7223
359	10786	7191
360	10813	7159
361	10841	7127
362	10868	7096
363	10896	7064
364	10923	7033
365	10951	7002
366	10980	6971
367	11008	6940
368	11036	6909
369	11064	6877
370	11092	6846
371	11120	6815
372	11146	6783
373	11174	6752
374	11205	6723
375	11238	6695
376	11266	6664
377	11296	6634
378	11328	6605
379	11365	6580
380	11401	6553
381	11432	6524
382	11462	6494
383	11494	6465
384	11525	6436
385	11553	6405
386	11580	6373
387	11607	6342
388	11634	6310
389	11661	6279
390	11689	6248
391	11714	6215
392	11740	6183
393	11765	6151
394	11793	6120
395	11819	6089
396	11846	6057
397	11873	6026
398	11902	5995
399	11933	5966
400	11963	5937
401	11992	5906
402	12019	5875
403	12047	5844
404	12076	5814
405	12103	5783
406	12132	5753
407	12160	5722
408	12188	5692
409	12216	5661
410	12244	5630
411	12271	5599
412	12299	5568
413	12327	5538
414	12355	5507
415	12383	5477
416	12411	5446
417	12442	5417
418	12473	5388
419	12506	5359
420	12535	5329
421	12562	5298
422	12615	5278
423	12655	5253
424	12694	5227
425	12733	5200
426	12770	5174
427	12805	5146
428	12836	5116
429	12866	5086
430	12897	5057
431	12927	5027
432	12956	4996
433	12984	4966
434	13013	4936
435	13043	4906
436	13071	4875
437	13100	4845
438	13129	4815
439	13157	4784
440	13184	4753
441	13212	4723
442	13241	4692
443	13269	4662
444	13297	4631
445	13324	4600
446	13352	4570
447	13380	4539
448	13415	4511
449	13444	4481
450	13473	4451
451	13504	4421
452	13535	4392
453	13566	4362
454	13599	4333
455	13631	4304
456	13661	4274
457	13692	4245
458	13720	4214
459	13749	4184
460	13779	4154
461	13807	4124
462	13836	4094
463	13864	4063
464	13890	4032
465	13918	4002
466	13946	3971
467	13972	3941
468	14001	3910
469	14029	3880
470	14063	3851
471	14096	3822
472	14129	3793
473	14163	3764
474	14196	3735
475	14224	3705
476	14254	3675
477	14283	3645
478	14312	3615
479	14340	3585
480	14369	3555
481	14397	3524
482	14427	3494
483	14456	3464
484	14483	3434
485	14512	3404
486	14540	3373
487	14568	3343
488	14596	3313
489	14626	3283
490	14657	3253
491	14689	3224
492	14720	3194
493	14749	3164
494	14777	3134
495	14808	3104
496	14840	3075
497	14873	3046
498	14910	3017
499	14948	2989
500	14988	2961
501	15025	2933
502	15061	2904
503	15094	2875
504	15128	2845
505	15163	2816
506	15201	2788
507	15238	2759
508	15269	2729
509	15300	2700
510	15329	2669
511	15358	2639
512	15386	2609
513	15414	2579
514	15441	2548
515	15472	2518
516	15502	2488
517	15531	2458
518	15560	2428
519	15588	2398
520	15615	2367
521	15644	2337
522	15673	2307
523	15705	2277
524	15741	2248
525	15777	2219
526	15811	2190
527	15840	2160
528	15872	2130
529	15901	2100
530	15927	2069
531	15955	2039
532	15984	2009
533	16013	1979
534	16041	1948
535	16067	1918
536	16094	1888
537	16122	1857
538	16148	1827
539	16174	1797
540	16202	1766
541	16231	1736
542	16259	1706
543	16285	1676
544	16314	1646
545	16342	1616
546	16369	1586
547	16395	1555
548	16428	1526
549	16482	1498
550	16523	1469
551	16565	1440
552	16607	1411
553	16646	1382
554	16678	1352
555	16709	1322
556	16738	1292
557	16768	1262
558	16798	1232
559	16827	1201
560	16857	1171
561	16888	1141
562	16922	1112
563	16953	1082
564	16985	1052
565	17015	1022
566	17042	991
567	17069	961
568	17096	931
569	17124	901
570	17152	871
571	17179	840
572	17205	810
573	17234	780
574	17265	750
575	17295	720
576	17323	690
577	17351	660
578	17378	630
579	17407	600
580	17434	570
581	17463	540
582	17494	510
583	17525	480
584	17555	450
585	17583	420
586	17611	390
587	17639	359
588	17667	329
589	17696	299
590	17724	269
591	17751	239
592	17780	209
593	17808	179
594	17835	149
595	17863	119
596	17892	89
597	17919	59
598	17947	29
599	17979	0
