iter	RMSE
349	40.87753502
350	40.86072116
351	40.84395383
352	40.82565746
353	40.80226229
354	40.7853138
355	40.76737948
356	40.75060007
357	40.73371565
358	40.71632457
359	40.70025212
360	40.68362901
361	40.66707002
362	40.65070363
363	40.6341004
364	40.61760926
365	40.60078656
366	40.57320454
367	40.55692312
368	40.54095721
369	40.52491753
370	40.50862325
371	40.4925908
372	40.47660967
373	40.4611526
374	40.44496332
375	40.42905283
376	40.41191385
377	40.39609277
378	40.37920753
379	40.36324667
380	40.3474656
381	40.33176886
382	40.31611007
383	40.29949822
384	40.28410693
385	40.26760068
386	40.25148327
387	40.23437534
388	40.21819313
389	40.20237115
390	40.18705588
391	40.17063554
392	40.15515371
393	40.140035
394	40.12466818
395	40.10859387
396	40.09325079
397	40.077467
398	40.06217722
399	40.04705799
400	40.03197459
401	40.01289345
402	39.99791172
403	39.98285452
404	39.96800203
405	39.95294055
406	39.93818536
407	39.92034143
408	39.90538289
409	39.89083165
410	39.87592251
411	39.86066072
412	39.84623046
413	39.83092655
414	39.8166654
415	39.80169178
416	39.78519936
417	39.77044954
418	39.75581523
419	39.73242492
420	39.71840528
421	39.70414886
422	39.68959084
423	39.67520726
424	39.66099369
425	39.64684394
426	39.63254124
427	39.6169013
428	39.60049498
429	39.58645933
430	39.57196491
431	39.55813679
432	39.54393617
433	39.52961324
434	39.51562252
435	39.50087268
436	39.4868338
437	39.4727432
438	39.45863581
439	39.44198484
440	39.42677733
441	39.41248096
442	39.39797413
443	39.38352236
444	39.36959921
445	39.35516464
446	39.34135955
447	39.32795387
448	39.31362914
449	39.2992439
450	39.28532911
451	39.27159286
452	39.25833112
453	39.24460231
454	39.23088892
455	39.21699454
456	39.20221889
457	39.18745409
458	39.16830829
459	39.15393143
460	39.1404394
461	39.12717112
462	39.11355466
463	39.10022849
464	39.08437807
465	39.07091211
466	39.05740861
467	39.04447963
468	39.03144076
469	39.01260408
470	38.99961967
471	38.98645896
472	38.97324245
473	38.96032302
474	38.94725186
475	38.93407216
476	38.92036645
477	38.90740461
478	38.89379268
479	38.87977669
480	38.86685328
481	38.85396118
482	38.84089373
483	38.82797243
484	38.81508631
485	38.80239593
486	38.78955563
487	38.77682027
488	38.76298044
489	38.75000388
490	38.73719851
491	38.72447095
492	38.7120338
493	38.69245152
494	38.68001648
495	38.66763754
496	38.65497397
497	38.64063481
498	38.62799394
499	38.61412579
500	38.60168516
501	38.58807698
502	38.57510243
503	38.5625906
504	38.5501491
505	38.53753502
506	38.52479696
507	38.51246716
508	38.50016525
509	38.48770562
510	38.47281437
511	38.46059088
512	38.44851697
513	38.43656592
514	38.42361469
515	38.40083951
516	38.38890263
517	38.3757365
518	38.36383144
519	38.35174423
520	38.33881804
521	38.32637058
522	38.31403755
523	38.30106324
524	38.28903863
525	38.27576865
526	38.25755081
527	38.24480331
528	38.23285385
529	38.22128975
530	38.20924646
531	38.19023661
532	38.17788353
533	38.16543538
534	38.15350626
535	38.14164577
536	38.12947466
537	38.11789259
538	38.10646233
539	38.09407234
540	38.08110518
541	38.06147265
542	38.04949857
543	38.03761154
544	38.02596674
545	38.01377021
546	37.99521933
547	37.98337441
548	37.97199132
549	37.96063098
550	37.94942838
551	37.93632298
552	37.9231224
553	37.9117611
554	37.90023832
555	37.88417662
556	37.87265409
557	37.86116684
558	37.84976666
559	37.83811344
560	37.82636826
561	37.81389154
562	37.8025128
563	37.79100096
564	37.77981923
565	37.76866016
566	37.75766081
567	37.7459715
568	37.73469354
569	37.72350797
570	37.71194856
571	37.70054248
572	37.68944198
573	37.67826249
574	37.6670759
575	37.65490928
576	37.64392877
577	37.6323169
578	37.62150874
579	37.61076314
580	37.59783756
581	37.58634102
582	37.57546085
583	37.56351893
584	37.55217828
585	37.54109268
586	37.53031689
587	37.51938614
588	37.50787561
589	37.49410847
590	37.48280808
591	37.47055444
592	37.458899
593	37.44750995
594	37.4368549
595	37.4259006
596	37.41479905
597	37.40386254
598	37.39290865
599	37.38217206
